timestamp,raw_green,filtered_signal,bpm_fft,bpm_peaks,confidence
1772578215.3382242,110.8,-0.28,62.0,97.3,HIGH
1772578215.365667,110.26,-0.26,61.6,97.3,HIGH
1772578215.404403,109.08,-0.2,61.4,97.3,HIGH
1772578215.4387891,109.79,-0.14,61.0,97.3,HIGH
1772578215.471194,110.67,-0.09,60.8,98.1,HIGH
1772578215.501038,110.95,-0.04,60.5,99.2,HIGH
1772578215.53809,112.0,0.01,60.1,99.5,HIGH
1772578215.566903,111.47,0.04,59.9,99.5,HIGH
1772578215.602873,111.48,0.05,59.5,99.7,HIGH
1772578215.637274,111.05,0.02,59.3,99.7,HIGH
1772578215.670691,111.56,-0.04,59.0,100.0,HIGH
1772578215.7064362,111.72,-0.1,58.8,100.0,HIGH
1772578215.741188,112.25,-0.14,58.5,100.0,HIGH
1772578215.774504,112.18,-0.15,58.2,100.0,HIGH
1772578215.806688,111.06,-0.14,58.0,100.0,HIGH
1772578215.841203,111.46,-0.12,57.6,100.9,HIGH
1772578215.877085,111.44,-0.1,57.4,101.9,HIGH
1772578215.910851,110.48,-0.08,57.1,101.9,HIGH
1772578215.9447,111.43,-0.05,56.9,101.9,HIGH
1772578216.0091798,111.08,-0.02,56.6,101.9,HIGH
1772578216.0394099,111.21,0.02,56.4,101.9,HIGH
1772578216.1008608,112.76,0.03,56.4,101.9,MEDIUM
1772578216.135474,111.7,0.02,56.4,101.9,MEDIUM
1772578216.168569,112.23,-0.02,56.4,101.9,MEDIUM
1772578216.2048278,111.45,-0.08,56.4,101.9,MEDIUM
1772578216.233994,111.91,-0.13,59.0,101.9,MEDIUM
1772578216.2680771,110.52,-0.15,61.6,101.9,MEDIUM
1772578216.304232,110.61,-0.15,61.6,101.9,MEDIUM
1772578216.3360572,110.82,-0.13,61.6,102.7,MEDIUM
1772578216.369847,108.35,-0.11,61.6,103.3,MEDIUM
1772578216.410025,109.51,-0.09,61.6,103.8,HIGH
1772578216.440701,107.91,-0.07,61.4,103.8,HIGH
1772578216.505167,103.91,-0.04,61.1,103.8,HIGH
1772578216.542583,105.17,-0.02,60.9,103.8,HIGH
1772578216.607014,105.79,-0.0,60.6,103.3,HIGH
1772578216.6354828,105.41,0.02,60.4,103.1,HIGH
1772578216.67237,106.85,0.01,60.1,103.1,HIGH
1772578216.70635,105.5,-0.02,59.9,103.1,HIGH
1772578216.742142,104.52,-0.08,59.6,103.1,HIGH
1772578216.7749949,102.79,-0.16,59.4,103.1,HIGH
1772578216.8096561,101.41,-0.24,59.1,103.1,HIGH
1772578216.8440242,107.46,-0.28,59.1,103.1,HIGH
1772578216.891446,104.27,-0.3,58.9,103.1,MEDIUM
1772578216.9550211,105.37,-0.27,58.6,103.1,MEDIUM
1772578217.008403,106.21,-0.23,58.6,103.1,MEDIUM
1772578217.039884,106.3,-0.2,58.6,103.1,MEDIUM
1772578217.069249,104.66,-0.17,58.4,103.1,MEDIUM
1772578217.103869,103.91,-0.13,58.2,103.1,MEDIUM
1772578217.138321,104.25,-0.07,57.9,103.1,MEDIUM
1772578217.167437,105.44,0.01,57.5,103.1,MEDIUM
1772578217.204808,107.88,0.1,57.0,103.0,MEDIUM
1772578217.238029,108.5,0.18,56.6,102.9,MEDIUM
1772578217.272115,110.87,0.21,56.6,102.9,MEDIUM
1772578217.307241,110.88,0.19,56.6,102.9,MEDIUM
1772578217.343049,109.71,0.15,56.4,102.6,MEDIUM
1772578217.3741388,109.38,0.09,56.1,102.2,MEDIUM
1772578217.4407291,109.26,0.06,55.9,102.0,MEDIUM
1772578217.4732878,108.35,0.07,55.7,101.8,MEDIUM
1772578217.509181,109.89,0.1,55.3,100.4,MEDIUM
1772578217.546806,109.71,0.13,54.9,99.0,MEDIUM
1772578217.611895,108.01,0.13,54.6,98.8,MEDIUM
1772578217.641962,107.33,0.1,54.4,98.8,MEDIUM
1772578217.706322,108.41,0.07,54.2,98.8,MEDIUM
1772578217.7394922,105.85,0.07,54.0,98.8,HIGH
1772578217.773251,106.09,0.08,53.8,98.6,HIGH
1772578217.804914,108.3,0.08,53.8,98.4,MEDIUM
1772578217.8407848,106.4,0.06,53.8,98.4,MEDIUM
1772578217.8742971,104.95,-0.01,53.8,98.4,LOW
1772578217.909051,109.84,-0.14,53.8,98.4,LOW
1772578217.9412181,110.13,-0.29,59.4,98.4,LOW
1772578217.973658,108.13,-0.43,64.8,98.4,LOW
1772578218.007554,109.04,-0.52,64.8,98.4,LOW
1772578218.0443661,110.38,-0.54,64.8,98.4,MEDIUM
1772578218.076071,106.45,-0.52,64.8,98.4,MEDIUM
1772578218.144861,106.87,-0.46,64.8,98.4,HIGH
1772578218.1741152,104.97,-0.37,64.6,98.4,HIGH
1772578218.236592,106.69,-0.28,64.4,98.5,HIGH
1772578218.27498,105.79,-0.18,64.2,98.7,HIGH
1772578218.31186,107.86,-0.07,63.9,98.9,HIGH
